     epoch         Observation time         ZTD(m)    clk_G(m)    clk_C(m)    clk_R(m)    clk_E(m)
       150: 2022-10-18  1:15:59.9910000    2.4192  -2581543.4432      0.0000      0.0000      0.0000   
       151: 2022-10-18  1:16:29.9910000    2.4194  -2577663.5953      0.0000      0.0000      0.0000   
       152: 2022-10-18  1:16:59.9910000    2.4195  -2573776.1105      0.0000      0.0000      0.0000   
       153: 2022-10-18  1:17:29.9910000    2.4196  -2569881.2660      0.0000      0.0000      0.0000   
       154: 2022-10-18  1:17:59.9910000    2.4197  -2565988.6878      0.0000      0.0000      0.0000   
       155: 2022-10-18  1:18:29.9910000    2.4198  -2562096.2968      0.0000      0.0000      0.0000   
       156: 2022-10-18  1:18:59.9910000    2.4198  -2558201.7234      0.0000      0.0000      0.0000   
       157: 2022-10-18  1:19:29.9910000    2.4198  -2554295.1005      0.0000      0.0000      0.0000   
       158: 2022-10-18  1:19:59.9910000    2.4200  -2550378.5082      0.0000      0.0000      0.0000   
       159: 2022-10-18  1:20:29.9910000    2.4200  -2546453.4995      0.0000      0.0000      0.0000   
       160: 2022-10-18  1:20:59.9920000    2.4201  -2542531.1711      0.0000      0.0000      0.0000   
       161: 2022-10-18  1:21:29.9920000    2.4203  -2538606.9354      0.0000      0.0000      0.0000   
       162: 2022-10-18  1:21:59.9920000    2.4204  -2534669.4996      0.0000      0.0000      0.0000   
       163: 2022-10-18  1:22:29.9920000    2.4205  -2530723.9479      0.0000      0.0000      0.0000   
       164: 2022-10-18  1:22:59.9920000    2.4206  -2526774.4359      0.0000      0.0000      0.0000   
       165: 2022-10-18  1:23:29.9920000    2.4208  -2522827.5961      0.0000      0.0000      0.0000   
       166: 2022-10-18  1:23:59.9920000    2.4209  -2518869.8482      0.0000      0.0000      0.0000   
       167: 2022-10-18  1:24:29.9920000    2.4211  -2514902.4946      0.0000      0.0000      0.0000   
       168: 2022-10-18  1:24:59.9920000    2.4214  -2510931.8053      0.0000      0.0000      0.0000   
       169: 2022-10-18  1:25:29.9920000    2.4216  -2506954.0550      0.0000      0.0000      0.0000   
       170: 2022-10-18  1:25:59.9920000    2.4220  -2502979.2474      0.0000      0.0000      0.0000   
       171: 2022-10-18  1:26:29.9920000    2.4222  -2499004.7545      0.0000      0.0000      0.0000   
       172: 2022-10-18  1:26:59.9920000    2.4224  -2495019.1975      0.0000      0.0000      0.0000   
       173: 2022-10-18  1:27:29.9920000    2.4226  -2491028.8407      0.0000      0.0000      0.0000   
       174: 2022-10-18  1:27:59.9920000    2.4228  -2487043.5558      0.0000      0.0000      0.0000   
       175: 2022-10-18  1:28:29.9920000    2.4231  -2483055.7278      0.0000      0.0000      0.0000   
       176: 2022-10-18  1:28:59.9920000    2.4234  -2479058.4780      0.0000      0.0000      0.0000   
       177: 2022-10-18  1:29:29.9920000    2.4235  -2475055.0441      0.0000      0.0000      0.0000   
       178: 2022-10-18  1:29:59.9920000    2.4236  -2471044.4819      0.0000      0.0000      0.0000   
