     epoch             Observation time    num_of_sats         spp_x(m)         spp_y(m)         spp_z(m)         ppp_x(m)         ppp_y(m)         ppp_z(m)       sigam_x(m)       sigam_y(m)       sigam_z(m)
        70: 2022-10-22  0:35:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9446     5628262.5295     2830348.2371       0.01658005       0.00660518       0.00583780 
        71: 2022-10-22  0:36:29.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9409     5628262.5305     2830348.2364       0.01619924       0.00649410       0.00570971 
        72: 2022-10-22  0:36:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9430     5628262.5311     2830348.2381       0.01583310       0.00638677       0.00558623 
        73: 2022-10-22  0:37:29.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9439     5628262.5322     2830348.2391       0.01548088       0.00628300       0.00546715 
        74: 2022-10-22  0:37:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9425     5628262.5336     2830348.2407       0.01514185       0.00618263       0.00535225 
        75: 2022-10-22  0:38:29.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9351     5628262.5349     2830348.2400       0.01481537       0.00608550       0.00524134 
        76: 2022-10-22  0:38:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9322     5628262.5335     2830348.2383       0.01450080       0.00599145       0.00513423 
        77: 2022-10-22  0:39:29.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9320     5628262.5321     2830348.2368       0.01419756       0.00590034       0.00503075 
        78: 2022-10-22  0:39:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9346     5628262.5324     2830348.2379       0.01390509       0.00581205       0.00493073 
        79: 2022-10-22  0:40:29.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9374     5628262.5313     2830348.2386       0.01362287       0.00572644       0.00483402 
        80: 2022-10-22  0:40:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9373     5628262.5302     2830348.2370       0.01335041       0.00564340       0.00474046 
        81: 2022-10-22  0:41:29.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9434     5628262.5299     2830348.2376       0.01308724       0.00556282       0.00464993 
        82: 2022-10-22  0:41:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9500     5628262.5291     2830348.2379       0.01283294       0.00548457       0.00456228 
        83: 2022-10-22  0:42:29.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9552     5628262.5288     2830348.2386       0.01258709       0.00540858       0.00447740 
        84: 2022-10-22  0:42:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9563     5628262.5295     2830348.2404       0.01234929       0.00533473       0.00439517 
        85: 2022-10-22  0:43:29.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9624     5628262.5310     2830348.2430       0.01211919       0.00526295       0.00431546 
        86: 2022-10-22  0:43:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9666     5628262.5296     2830348.2428       0.01189642       0.00519313       0.00423819 
        87: 2022-10-22  0:44:29.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9635     5628262.5277     2830348.2400       0.01168067       0.00512521       0.00416324 
        88: 2022-10-22  0:44:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9625     5628262.5275     2830348.2399       0.01147162       0.00505911       0.00409053 
        89: 2022-10-22  0:45:29.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9595     5628262.5263     2830348.2391       0.01126898       0.00499474       0.00401995 
        90: 2022-10-22  0:45:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9585     5628262.5251     2830348.2385       0.01107247       0.00493205       0.00395143 
        91: 2022-10-22  0:46:29.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9600     5628262.5245     2830348.2390       0.01088182       0.00487096       0.00388488 
        92: 2022-10-22  0:46:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9630     5628262.5236     2830348.2388       0.01069678       0.00481142       0.00382023 
        93: 2022-10-22  0:47:29.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9633     5628262.5238     2830348.2390       0.01051713       0.00475335       0.00375739 
        94: 2022-10-22  0:47:59.9940000              8      969180.8895     5628260.3835     2830346.9891      969180.9637     5628262.5243     2830348.2390       0.01034262       0.00469672       0.00369631 
        95: 2022-10-22  0:48:29.9940000              7      969180.8895     5628260.3835     2830346.9891      969180.9627     5628262.5239     2830348.2376       0.01017344       0.00464749       0.00364164 
        96: 2022-10-22  0:48:59.9940000              7      969180.8895     5628260.3835     2830346.9891      969180.9670     5628262.5242     2830348.2375       0.01000889       0.00459939       0.00358830 
        97: 2022-10-22  0:49:29.9940000              7      969180.8895     5628260.3835     2830346.9891      969180.9697     5628262.5247     2830348.2385       0.00984878       0.00455237       0.00353623 
        98: 2022-10-22  0:49:59.9940000              7      969180.8895     5628260.3835     2830346.9891      969180.9651     5628262.5247     2830348.2372       0.00969297       0.00450638       0.00348540 
        99: 2022-10-22  0:50:29.9940000              7      969180.8895     5628260.3835     2830346.9891      969180.9614     5628262.5249     2830348.2365       0.00954127       0.00446136       0.00343575 
