     epoch         Observation time         ZTD(m)    clk_G(m)    clk_C(m)    clk_R(m)    clk_E(m)
       243: 2022-10-19  2: 2:29.9940000    2.3962  -1900653.3516      0.0000      0.0000      0.0000   
       244: 2022-10-19  2: 2:59.9940000    2.3962  -1896461.3831      0.0000      0.0000      0.0000   
       245: 2022-10-19  2: 3:29.9940000    2.3962  -1892268.1833      0.0000      0.0000      0.0000   
       246: 2022-10-19  2: 3:59.9940000    2.3962  -1888070.1747      0.0000      0.0000      0.0000   
       247: 2022-10-19  2: 4:29.9940000    2.3962  -1883863.2090      0.0000      0.0000      0.0000   
       248: 2022-10-19  2: 4:59.9940000    2.3961  -1879651.7225      0.0000      0.0000      0.0000   
       249: 2022-10-19  2: 5:29.9940000    2.3961  -1875444.2213      0.0000      0.0000      0.0000   
       250: 2022-10-19  2: 5:59.9940000    2.3959  -1871222.9543      0.0000      0.0000      0.0000   
       251: 2022-10-19  2: 6:29.9940000    2.3958  -1866995.8771      0.0000      0.0000      0.0000   
       252: 2022-10-19  2: 6:59.9940000    2.3957  -1862762.2566      0.0000      0.0000      0.0000   
       253: 2022-10-19  2: 7:29.9940000    2.3956  -1858526.5392      0.0000      0.0000      0.0000   
       254: 2022-10-19  2: 7:59.9940000    2.3955  -1854290.5702      0.0000      0.0000      0.0000   
       255: 2022-10-19  2: 8:29.9940000    2.3955  -1850046.8081      0.0000      0.0000      0.0000   
       256: 2022-10-19  2: 8:59.9940000    2.3955  -1845796.6949      0.0000      0.0000      0.0000   
       257: 2022-10-19  2: 9:29.9940000    2.3956  -1841546.6815      0.0000      0.0000      0.0000   
       258: 2022-10-19  2: 9:59.9940000    2.3957  -1837291.7404      0.0000      0.0000      0.0000   
       259: 2022-10-19  2:10:29.9940000    2.3958  -1833032.7803      0.0000      0.0000      0.0000   
       260: 2022-10-19  2:10:59.9940000    2.3958  -1828761.2321      0.0000      0.0000      0.0000   
       261: 2022-10-19  2:11:29.9940000    2.3958  -1824486.0883      0.0000      0.0000      0.0000   
       262: 2022-10-19  2:11:59.9940000    2.3958  -1820211.5037      0.0000      0.0000      0.0000   
       263: 2022-10-19  2:12:29.9940000    2.3957  -1815936.1054      0.0000      0.0000      0.0000   
       264: 2022-10-19  2:12:59.9940000    2.3960  -1811664.9104      0.0000      0.0000      0.0000   
       265: 2022-10-19  2:13:29.9940000    2.3963  -1807385.3172      0.0000      0.0000      0.0000   
       266: 2022-10-19  2:13:59.9940000    2.3965  -1803106.3916      0.0000      0.0000      0.0000   
       267: 2022-10-19  2:14:29.9940000    2.3965  -1798819.5720      0.0000      0.0000      0.0000   
       268: 2022-10-19  2:14:59.9940000    2.3968  -1794525.0711      0.0000      0.0000      0.0000   
       269: 2022-10-19  2:15:29.9940000    2.3968  -1790224.0904      0.0000      0.0000      0.0000   
       270: 2022-10-19  2:15:59.9940000    2.3968  -1785913.4925      0.0000      0.0000      0.0000   
       271: 2022-10-19  2:16:29.9940000    2.3968  -1781606.5553      0.0000      0.0000      0.0000   
       272: 2022-10-19  2:16:59.9940000    2.3968  -1777290.8871      0.0000      0.0000      0.0000   
       273: 2022-10-19  2:17:29.9940000    2.3967  -1772962.8615      0.0000      0.0000      0.0000   
       274: 2022-10-19  2:17:59.9940000    2.3967  -1768632.1439      0.0000      0.0000      0.0000   
