     epoch             Observation time    num_of_sats         spp_x(m)         spp_y(m)         spp_z(m)         ppp_x(m)         ppp_y(m)         ppp_z(m)       sigam_x(m)       sigam_y(m)       sigam_z(m)
        80: 2022-10-21  0:40:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9829     5628262.5355     2830348.2343       0.01414164       0.00548731       0.00491835 
        81: 2022-10-21  0:41:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9780     5628262.5359     2830348.2339       0.01384648       0.00540641       0.00482087 
        82: 2022-10-21  0:41:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9718     5628262.5361     2830348.2330       0.01356160       0.00532795       0.00472657 
        83: 2022-10-21  0:42:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9631     5628262.5353     2830348.2316       0.01328651       0.00525184       0.00463531 
        84: 2022-10-21  0:42:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9575     5628262.5343     2830348.2303       0.01302078       0.00517799       0.00454696 
        85: 2022-10-21  0:43:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9575     5628262.5346     2830348.2300       0.01276398       0.00510628       0.00446140 
        86: 2022-10-21  0:43:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9559     5628262.5354     2830348.2307       0.01251571       0.00503663       0.00437851 
        87: 2022-10-21  0:44:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9535     5628262.5357     2830348.2313       0.01227560       0.00496896       0.00429819 
        88: 2022-10-21  0:44:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9521     5628262.5355     2830348.2314       0.01204327       0.00490318       0.00422033 
        89: 2022-10-21  0:45:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9549     5628262.5355     2830348.2322       0.01181840       0.00483923       0.00414482 
        90: 2022-10-21  0:45:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9553     5628262.5353     2830348.2322       0.01160065       0.00477701       0.00407157 
        91: 2022-10-21  0:46:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9569     5628262.5357     2830348.2332       0.01138973       0.00471647       0.00400050 
        92: 2022-10-21  0:46:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9595     5628262.5364     2830348.2350       0.01118533       0.00465753       0.00393151 
        93: 2022-10-21  0:47:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9633     5628262.5361     2830348.2368       0.01098719       0.00460014       0.00386453 
        94: 2022-10-21  0:47:59.9930000              7      969180.9035     5628261.4074     2830347.0117      969180.9655     5628262.5360     2830348.2375       0.01079559       0.00455064       0.00380464 
        95: 2022-10-21  0:48:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9632     5628262.5360     2830348.2363       0.01060957       0.00450239       0.00374630 
        96: 2022-10-21  0:48:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9604     5628262.5366     2830348.2357       0.01042892       0.00445531       0.00368945 
        97: 2022-10-21  0:49:29.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9560     5628262.5372     2830348.2360       0.01025345       0.00440936       0.00363403 
        98: 2022-10-21  0:49:59.9930000              8      969180.9035     5628261.4074     2830347.0117      969180.9520     5628262.5375     2830348.2358       0.01008296       0.00436447       0.00357998 
        99: 2022-10-21  0:50:29.9940000              8      969180.9035     5628261.4074     2830347.0117      969180.9523     5628262.5372     2830348.2353       0.00991726       0.00432059       0.00352726 
       100: 2022-10-21  0:50:59.9940000              8      969180.9035     5628261.4074     2830347.0117      969180.9540     5628262.5377     2830348.2366       0.00975617       0.00427766       0.00347580 
       101: 2022-10-21  0:51:29.9940000              8      969180.9035     5628261.4074     2830347.0117      969180.9532     5628262.5376     2830348.2366       0.00959953       0.00423565       0.00342556 
       102: 2022-10-21  0:51:59.9940000              8      969180.9035     5628261.4074     2830347.0117      969180.9529     5628262.5386     2830348.2373       0.00944716       0.00419450       0.00337649 
       103: 2022-10-21  0:52:29.9940000              7      969180.9035     5628261.4074     2830347.0117      969180.9523     5628262.5394     2830348.2367       0.00929895       0.00415428       0.00332868 
       104: 2022-10-21  0:52:59.9940000              7      969180.9035     5628261.4074     2830347.0117      969180.9518     5628262.5399     2830348.2362       0.00915470       0.00411486       0.00328198 
       105: 2022-10-21  0:53:29.9940000              7      969180.9035     5628261.4074     2830347.0117      969180.9548     5628262.5400     2830348.2370       0.00901427       0.00407622       0.00323635 
       106: 2022-10-21  0:53:59.9940000              7      969180.9035     5628261.4074     2830347.0117      969180.9536     5628262.5407     2830348.2368       0.00887751       0.00403832       0.00319175 
       107: 2022-10-21  0:54:29.9940000              7      969180.9035     5628261.4074     2830347.0117      969180.9499     5628262.5411     2830348.2374       0.00874431       0.00400112       0.00314816 
       108: 2022-10-21  0:54:59.9940000              7      969180.9035     5628261.4074     2830347.0117      969180.9489     5628262.5418     2830348.2373       0.00861451       0.00396460       0.00310553 
       109: 2022-10-21  0:55:29.9940000              7      969180.9035     5628261.4074     2830347.0117      969180.9472     5628262.5427     2830348.2371       0.00848801       0.00392872       0.00306384 
       110: 2022-10-21  0:55:59.9940000              7      969180.9035     5628261.4074     2830347.0117      969180.9434     5628262.5429     2830348.2358       0.00836467       0.00389347       0.00302306 
       111: 2022-10-21  0:56:29.9940000              7      969180.9035     5628261.4074     2830347.0117      969180.9408     5628262.5426     2830348.2352       0.00824439       0.00385882       0.00298315 
       112: 2022-10-21  0:56:59.9940000              7      969180.9035     5628261.4074     2830347.0117      969180.9405     5628262.5419     2830348.2352       0.00812706       0.00382475       0.00294410 
       113: 2022-10-21  0:57:29.9940000              7      969180.9035     5628261.4074     2830347.0117      969180.9397     5628262.5412     2830348.2341       0.00801257       0.00379122       0.00290586 
       114: 2022-10-21  0:57:59.9940000              7      969180.9035     5628261.4074     2830347.0117      969180.9383     5628262.5400     2830348.2329       0.00790083       0.00375824       0.00286842 
       115: 2022-10-21  0:58:29.9940000              7      969180.9035     5628261.4074     2830347.0117      969180.9397     5628262.5406     2830348.2334       0.00779172       0.00372576       0.00283176 
       116: 2022-10-21  0:58:59.9940000              7      969180.9035     5628261.4074     2830347.0117      969180.9393     5628262.5399     2830348.2330       0.00768517       0.00369379       0.00279585 
       117: 2022-10-21  0:59:29.9940000              7      969180.9035     5628261.4074     2830347.0117      969180.9394     5628262.5402     2830348.2334       0.00758108       0.00366229       0.00276067 
       118: 2022-10-21  0:59:59.9940000              7      969180.9035     5628261.4074     2830347.0117      969180.9412     5628262.5402     2830348.2335       0.00747937       0.00363127       0.00272620 
       119: 2022-10-21  1: 0:29.9940000              7      969180.9035     5628261.4074     2830347.0117      969180.9380     5628262.5407     2830348.2342       0.00737996       0.00360069       0.00269242 
       120: 2022-10-21  1: 0:59.9940000              7      969180.9035     5628261.4074     2830347.0117      969180.9370     5628262.5408     2830348.2338       0.00728277       0.00357055       0.00265930 
       121: 2022-10-21  1: 1:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9369     5628262.5400     2830348.2332       0.00718775       0.00354774       0.00263341 
       122: 2022-10-21  1: 1:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9363     5628262.5398     2830348.2327       0.00709479       0.00352556       0.00260818 
       123: 2022-10-21  1: 2:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9383     5628262.5390     2830348.2329       0.00700382       0.00350400       0.00258357 
       124: 2022-10-21  1: 2:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9408     5628262.5378     2830348.2330       0.00691478       0.00348305       0.00255957 
       125: 2022-10-21  1: 3:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9427     5628262.5364     2830348.2331       0.00682762       0.00346266       0.00253616 
       126: 2022-10-21  1: 3:59.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9448     5628262.5355     2830348.2332       0.00674228       0.00344283       0.00251331 
       127: 2022-10-21  1: 4:29.9940000              6      969180.9035     5628261.4074     2830347.0117      969180.9477     5628262.5341     2830348.2328       0.00665870       0.00342353       0.00249100 
